,OBJECTID,ID,totalpop,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,MINORPOP,poc,LOWINCOME,lowincome,LESSHS,LESSHSPCT,LINGISO,LINGISOPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,PRE1960,PRE1960PCT,VULEOPCT,VULSVI6PCT,VULEO,VULSVI6,DISPEO,DISPSVI6,dpm,CANCER,RESP,traffic,PWDIS,PNPL,PRMP,PTSDF,O3,PM25,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,STATE_NAME,ST_ABBREV,REGION,P_MINORPCT,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNDR5PCT,P_OVR64PCT,P_LDPNT,P_VULEOPCT,P_VSVI6PCT,P_DSLPM,P_CANCR,P_RESP,P_PTRAF,P_PWDIS,P_PNPL,P_PRMP,P_PTSDF,P_OZONE,P_PM25,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,B_MINORPCT,B_LWINCPCT,B_LESHSPCT,B_LNGISPCT,B_UNDR5PCT,B_OVR64PCT,B_LDPNT,B_VULEOPCT,B_VSVI6PCT,B_DSLPM,B_CANCR,B_RESP,B_PTRAF,B_PWDIS,B_PNPL,B_PRMP,B_PTSDF,B_OZONE,B_PM25,B_LDPNT_D2,B_DSLPM_D2,B_CANCR_D2,B_RESP_D2,B_PTRAF_D2,B_PWDIS_D2,B_PNPL_D2,B_PRMP_D2,B_PTSDF_D2,B_OZONE_D2,B_PM25_D2,T_MINORPCT,T_LWINCPCT,T_LESHSPCT,T_LNGISPCT,T_UNDR5PCT,T_OVR64PCT,T_VULEOPCT,T_VSVI6PCT,T_LDPNT,T_LDPNT_D2,T_DSLPM,T_DSLPM_D2,T_CANCR,T_CANCR_D2,T_RESP,T_RESP_D2,T_PTRAF,T_PTRAF_D2,T_PWDIS,T_PWDIS_D2,T_PNPL,T_PNPL_D2,T_PRMP,T_PRMP_D2,T_PTSDF,T_PTSDF_D2,T_OZONE,T_OZONE_D2,T_PM25,T_PM25_D2,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,Shape_Length,Shape_Area,area
164773,164774,420030103001,2318,0,1677,0,0,1321,0.56988783434,0,0.0,342,0.203935599284,0,0.0,0,0.0,9,0.00388265746333,0,0.0,0.28494391717,0.129617681848,660.5,300.453786523,-173.237964447,-125.25092667,3.021717022,78.1798311064,3.52809278267,4236.75488355,0.208960749737,0.0669012733406,0.493627332464,0.103256371588,37.675955,10.5976375342,-0.0,-523.476106025,-13543.7148016,-611.199612049,-733966.791885,-36.1999349337,-11.5898404124,-85.5149942712,-17.8879236301,-6526.90575278,-1835.91315438,Pennsylvania,PA,3,72.4001945551,0.560466923306,77.1263468725,44.449286974,3.97333749288,0.986714624201,10.5383535652,47.4225010004,35.8664864123,97.3410747176,99.3252722957,94.6888553959,97.1952784509,92.6426449117,53.2881771194,60.4385682536,75.3647606506,46.7556853305,83.4991323286,62.7347730205,4.92350089582,16.7000842041,15.5419045961,1.03839305623,4.01419466919,30.9756218489,22.4372672032,19.8561773787,38.8112522704,33.7145794069,8,1,8,5,1,1,2,5,4,11,11,10,11,10,6,7,8,5.0,9.0,7,1,2,2,1,1,4,3,2,4.0,4.0,57% (72%ile),0% (0%ile),20% (77%ile),0% (44%ile),0% (3%ile),0% (0%ile),28% (47%ile),13% (35%ile),0 = fraction pre-1960 (10%ile),62%ile,3.02 ug/m3 (97%ile),4%ile,78 lifetime risk per million (99%ile),16%ile,3.5  (94%ile),15%ile,4200 daily vehicles/meters distance (97%ile),1%ile,0.21 toxicity-weighted concentration/meters distance (92%ile),4%ile,0.067 sites/km distance (53%ile),30%ile,0.49 facilities/km distance (60%ile),22%ile,0.1 facilities/km distance (75%ile),19%ile,37.7 ppb (46%ile),38%ile,10.6 ug/m3 (83%ile),33%ile,291362.0,235982.0,0,0,6047.97119608,911224.474928,527344.0
164774,164775,420030103002,3458,95,112,0,0,518,0.14979757085,32,0.336842105263,0,0.0,0,0.0,0,0.0,31,0.00896471949104,0,0.0,0.243319838057,0.0826007326007,841.399999999,285.633333333,-402.373028929,-349.434353561,3.021717022,78.1798311064,3.52809278267,3069.53778333,0.1210799537,0.0664592248594,0.508089823609,0.10357085225,37.675955,10.5976375342,-0.0,-1215.85743071,-31457.4554434,-1419.60937931,-1235099.21529,-48.7193077128,-26.741399607,-204.441641293,-41.6741175285,-15159.7881311,-4264.20351415,Pennsylvania,PA,3,32.3610265561,54.0413110441,3.98249819556,44.449286974,3.97333749288,1.44925570531,10.5383535652,39.6494506338,10.9679372847,97.3410747176,99.3252722957,94.6888553959,95.8830557366,91.1282788741,53.0722571931,61.1209203875,75.4644396482,46.7556853305,83.4991323286,62.7347730205,0.694138182752,2.35765592825,2.54672136843,0.509553067941,3.60634544289,17.6891058197,10.6897002528,7.58148505059,15.4711908755,11.0635599553,4,6,1,5,1,1,2,4,2,11,11,10,11,10,6,7,8,5.0,9.0,7,1,1,1,1,1,2,2,1,2.0,2.0,15% (32%ile),34% (54%ile),0% (3%ile),0% (44%ile),0% (3%ile),1% (1%ile),24% (39%ile),8% (10%ile),0 = fraction pre-1960 (10%ile),62%ile,3.02 ug/m3 (97%ile),0%ile,78 lifetime risk per million (99%ile),2%ile,3.5  (94%ile),2%ile,3100 daily vehicles/meters distance (95%ile),0%ile,0.12 toxicity-weighted concentration/meters distance (91%ile),3%ile,0.066 sites/km distance (53%ile),17%ile,0.51 facilities/km distance (61%ile),10%ile,0.1 facilities/km distance (75%ile),7%ile,37.7 ppb (46%ile),15%ile,10.6 ug/m3 (83%ile),11%ile,275341.0,0.0,0,0,2738.95665426,475805.948669,275341.0
164775,164776,420030103003,239,214,149,101,160,21,0.0878661087866,140,0.654205607477,27,0.181208053691,0,0.0,5,0.0209205020921,57,0.238493723849,103,0.64375,0.371035858132,0.197115665983,88.6775700935,47.1106441698,2.71407850474,3.21788038506,3.021717022,78.1798311064,3.52809278267,2622.89497589,0.119617021862,0.0640071313949,0.552325611319,0.105826509085,37.675955,10.5976375342,1.74718803743,8.20117721683,212.18619911,9.5755207842,7118.74287427,0.324649987838,0.173720379469,1.4990550693,0.287221453539,102.255499611,28.7628202328,Pennsylvania,PA,3,21.2633128081,89.9859062297,72.8076320902,44.449286974,12.4071451257,89.0995593539,84.4014499394,60.0458453439,63.7636287726,97.3410747176,99.3252722957,94.6888553959,95.0991602386,91.0841733975,51.6981116672,63.1258918988,76.1175435652,46.7556853305,83.4991323286,64.1757981527,60.1234797856,59.0910228029,59.1655507495,68.2459171503,86.8966434484,59.0963137892,59.3915345332,59.550572167,59.0312197731,59.0853712839,3,9,8,5,2,9,9,7,7,11,11,10,11,10,6,7,8,5.0,9.0,7,7,6,6,7,9,6,6,6,6.0,6.0,9% (21%ile),65% (89%ile),18% (72%ile),0% (44%ile),2% (12%ile),24% (89%ile),37% (60%ile),20% (63%ile),0.64 = fraction pre-1960 (84%ile),64%ile,3.02 ug/m3 (97%ile),60%ile,78 lifetime risk per million (99%ile),59%ile,3.5  (94%ile),59%ile,2600 daily vehicles/meters distance (95%ile),68%ile,0.12 toxicity-weighted concentration/meters distance (91%ile),86%ile,0.064 sites/km distance (51%ile),59%ile,0.55 facilities/km distance (63%ile),59%ile,0.11 facilities/km distance (76%ile),59%ile,37.7 ppb (46%ile),59%ile,10.6 ug/m3 (83%ile),59%ile,168360.0,0.0,0,0,2480.96506053,290935.206086,168360.0
164776,164777,420030103004,279,279,230,139,259,181,0.648745519713,112,0.401433691756,13,0.0565217391304,0,0.0,22,0.078853046595,30,0.10752688172,204,0.787644787645,0.525089605735,0.215513479819,146.5,60.1282608695,46.1493131662,8.88942783205,3.021717022,78.1798311064,3.52809278267,3490.1207492,0.118482202016,0.0624598254019,0.57709837792,0.10771109254,37.675955,10.5976375342,36.3492659687,139.450165148,3607.94550901,162.819058707,161066.675443,5.46787224544,2.88247804278,26.6326937703,4.9707929411,1738.71944613,489.07369339,Pennsylvania,PA,3,76.8107539515,63.8591250303,30.270471113,44.449286974,70.2215715696,39.7981724855,91.8101232864,75.6896362274,68.9380274309,97.3410747176,99.3252722957,94.6888553959,96.4655765895,91.0503519258,50.8556729761,64.1606042451,76.6990180223,46.7556853305,83.4991323286,76.1941655211,71.5167750216,65.4157232167,65.8728580553,85.9998236861,92.5361165544,64.733069967,66.270193856,68.1487454588,62.5290439838,63.261899159,8,7,4,5,8,4,10,8,7,11,11,10,11,10,6,7,8,5.0,9.0,8,8,7,7,9,10,7,7,7,7.0,7.0,65% (76%ile),40% (63%ile),6% (30%ile),0% (44%ile),8% (70%ile),11% (39%ile),53% (75%ile),22% (68%ile),0.79 = fraction pre-1960 (91%ile),76%ile,3.02 ug/m3 (97%ile),71%ile,78 lifetime risk per million (99%ile),65%ile,3.5  (94%ile),65%ile,3500 daily vehicles/meters distance (96%ile),85%ile,0.12 toxicity-weighted concentration/meters distance (91%ile),92%ile,0.062 sites/km distance (50%ile),64%ile,0.58 facilities/km distance (64%ile),66%ile,0.11 facilities/km distance (76%ile),68%ile,37.7 ppb (46%ile),62%ile,10.6 ug/m3 (83%ile),63%ile,131024.0,0.0,0,0,2414.92779954,226422.14272,131024.0
164777,164778,420030201001,1703,577,429,294,353,445,0.261303581914,154,0.266897746967,9,0.020979020979,0,0.0,0,0.0,16,0.0093951849677,118,0.334277620397,0.26410066444,0.0930959224713,449.763431542,158.542355969,-162.771406013,-154.216542464,3.0515374352,93.0117908124,4.02629049653,2526.2989477,0.145929113922,0.0708115553097,0.283855701732,0.112186661126,37.7722516667,10.580129589,-54.4108382707,-496.703038828,-15139.6599663,-655.364965137,-411209.231726,-23.7530870513,-11.5260964197,-46.2035916756,-18.2607805674,-6148.24251205,-1722.14256901,Pennsylvania,PA,3,47.3641546383,42.2778636468,11.4162490254,44.449286974,3.97333749288,1.49210864782,64.2735897201,43.6616456822,16.1136200863,97.4162437193,99.7707117492,96.8511516013,94.8886909225,91.6647752226,55.2598721689,48.6579633767,77.9912865494,48.2013489436,83.2969962495,22.4611289459,5.51753148558,13.9522405678,13.9472151256,2.13380110007,4.72299045525,31.0587417587,33.0117454362,19.5118913488,40.153243314,35.319679504,5,5,2,5,1,1,7,5,2,11,11,11,10,10,6,5,8,5.0,9.0,3,1,2,2,1,1,4,4,2,5.0,4.0,26% (47%ile),27% (42%ile),2% (11%ile),0% (44%ile),0% (3%ile),1% (1%ile),26% (43%ile),9% (16%ile),0.33 = fraction pre-1960 (64%ile),22%ile,3.05 ug/m3 (97%ile),5%ile,93 lifetime risk per million (99%ile),13%ile,4  (96%ile),13%ile,2500 daily vehicles/meters distance (94%ile),2%ile,0.15 toxicity-weighted concentration/meters distance (91%ile),4%ile,0.071 sites/km distance (55%ile),31%ile,0.28 facilities/km distance (48%ile),33%ile,0.11 facilities/km distance (77%ile),19%ile,37.8 ppb (48%ile),40%ile,10.6 ug/m3 (83%ile),35%ile,435122.0,249581.0,0,0,5638.34434348,1183302.44724,684703.0
164778,164779,420030201002,944,944,905,754,813,208,0.220338983051,395,0.41843220339,37,0.0408839779006,48,0.0636604774536,0,0.0,305,0.323093220339,343,0.421894218942,0.31938559322,0.177734810356,301.5,167.781660976,-38.0378077814,-5.58557338755,3.0515374352,93.0117908124,4.02629049653,1597.82406714,0.131324861702,0.0725123261086,0.267997132668,0.117462677624,37.7722516667,10.580129589,-16.0479312042,-116.073794398,-3537.96462032,-153.151263979,-60777.7247343,-4.99530984633,-2.7582099223,-10.1940234184,-4.46802275295,-1436.77364837,-402.44493561,Pennsylvania,PA,3,42.4241151576,66.2365862883,22.0181998882,76.2007307704,3.97333749288,96.4892380258,70.9731141006,52.9530467371,57.2788509143,97.4162437193,99.7707117492,96.8511516013,91.8717582759,91.3750525577,56.0850895604,47.3149045271,79.3255818339,48.2013489436,83.2969962495,38.2308718296,32.8918989208,47.3948781651,45.1482798975,13.834279606,8.24009733612,49.1745843557,51.4391953613,41.1755756767,55.2079142516,54.3124617211,5,7,3,8,1,11,8,6,6,11,11,11,10,10,6,5,8,5.0,9.0,4,4,5,5,2,1,5,6,5,6.0,6.0,22% (42%ile),42% (66%ile),4% (22%ile),6% (76%ile),0% (3%ile),32% (96%ile),32% (52%ile),18% (57%ile),0.42 = fraction pre-1960 (70%ile),38%ile,3.05 ug/m3 (97%ile),32%ile,93 lifetime risk per million (99%ile),47%ile,4  (96%ile),45%ile,1600 daily vehicles/meters distance (91%ile),13%ile,0.13 toxicity-weighted concentration/meters distance (91%ile),8%ile,0.073 sites/km distance (56%ile),49%ile,0.27 facilities/km distance (47%ile),51%ile,0.12 facilities/km distance (79%ile),41%ile,37.8 ppb (48%ile),55%ile,10.6 ug/m3 (83%ile),54%ile,183614.0,82275.0,0,0,3086.9217886,459561.98449,265889.0
164779,164780,420030201003,215,215,193,128,179,52,0.241860465116,0,0.0,0,0.0,0,0.0,22,0.102325581395,0,0.0,36,0.201117318436,0.120930232558,0.0573643410852,26.0,12.3333333333,-51.3311744418,-27.1517888999,3.0515374352,93.0117908124,4.02629049653,1075.31386538,0.0434728036139,0.0706228097923,0.275280681772,0.112535738645,37.7722516667,10.580129589,-10.3235881559,-156.639000402,-4774.40445933,-206.674219831,-55197.1236035,-2.23151006578,-3.62515176902,-14.1304806965,-5.77659163134,-1938.89403936,-543.090477552,Pennsylvania,PA,3,45.0590125389,0.560466923306,3.98249819556,44.449286974,85.6526249982,0.796865814466,51.2604310176,12.2181585183,2.41999320468,97.4162437193,99.7707117492,96.8511516013,88.2162935326,87.478545539,55.1755722203,47.9277237841,78.0980742143,48.2013489436,83.2969962495,42.1671507337,27.0555883357,42.5946933314,40.222369595,14.7068315598,10.5392680105,46.5101528309,48.8262596548,37.7531077743,53.8886762644,52.5525679976,5,1,1,5,9,1,6,2,1,11,11,11,9,9,6,5,8,5.0,9.0,5,3,5,5,2,2,5,5,4,6.0,6.0,24% (45%ile),0% (0%ile),0% (3%ile),0% (44%ile),10% (85%ile),0% (0%ile),12% (12%ile),6% (2%ile),0.2 = fraction pre-1960 (51%ile),42%ile,3.05 ug/m3 (97%ile),27%ile,93 lifetime risk per million (99%ile),42%ile,4  (96%ile),40%ile,1100 daily vehicles/meters distance (88%ile),14%ile,0.043 toxicity-weighted concentration/meters distance (87%ile),10%ile,0.071 sites/km distance (55%ile),46%ile,0.28 facilities/km distance (47%ile),48%ile,0.11 facilities/km distance (78%ile),37%ile,37.8 ppb (48%ile),53%ile,10.6 ug/m3 (83%ile),52%ile,165318.0,0.0,0,0,2567.48167725,285719.812687,165318.0
164780,164781,420030201004,736,736,384,464,536,179,0.243206521739,378,0.513586956522,10,0.0260416666667,0,0.0,12,0.0163043478261,68,0.0923913043478,32,0.0597014925373,0.37839673913,0.148588466184,278.5,109.361111111,13.7756074924,-25.8065631382,3.0515374352,93.0117908124,4.02629049653,1810.77076867,0.0596549652981,0.0667791632102,0.529095864799,0.103848672497,37.7722516667,10.580129589,0.822424327905,42.0367819557,1281.2939224,55.4645975307,24944.4673679,0.82178338692,0.919923541056,7.28861695933,1.43057855092,520.335713065,145.747712438,Pennsylvania,PA,3,45.2179885643,77.7479477032,14.0759499689,44.449286974,9.47005323959,31.4142433701,28.9688538984,60.96671412,45.2545106856,97.4162437193,99.7707117492,96.8511516013,92.8306685325,88.6838974169,53.2256142118,62.0994499342,75.5515735855,48.2013489436,83.2969962495,63.456371633,64.2867866527,61.3360100601,61.5007656422,74.5918482017,88.7474410087,60.969264078,61.6356495131,62.3976067158,59.9710698689,60.2179979463,5,8,2,5,1,4,3,7,5,11,11,11,10,9,6,7,8,5.0,9.0,7,7,7,7,8,9,7,7,7,6.0,7.0,24% (45%ile),51% (77%ile),3% (14%ile),0% (44%ile),2% (9%ile),9% (31%ile),38% (60%ile),15% (45%ile),0.06 = fraction pre-1960 (28%ile),63%ile,3.05 ug/m3 (97%ile),64%ile,93 lifetime risk per million (99%ile),61%ile,4  (96%ile),61%ile,1800 daily vehicles/meters distance (92%ile),74%ile,0.06 toxicity-weighted concentration/meters distance (88%ile),88%ile,0.067 sites/km distance (53%ile),60%ile,0.53 facilities/km distance (62%ile),61%ile,0.1 facilities/km distance (75%ile),62%ile,37.8 ppb (48%ile),59%ile,10.6 ug/m3 (83%ile),60%ile,281538.0,0.0,0,0,2917.85199225,486568.057982,281538.0
164781,164782,420030201005,0,0,0,0,26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.0515374352,93.0117908124,4.02629049653,3810.90012159,0.188587891766,0.0693945574319,0.415971543821,0.109234902721,37.7722516667,10.580129589,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,Pennsylvania,PA,3,1.68277258475,0.560466923306,3.98249819556,44.449286974,3.97333749288,0.796865814466,10.5383535652,0.01349762165,0.000289085806136,97.4162437193,99.7707117492,96.8511516013,96.8106455207,92.3732385004,54.5627080997,56.7464521692,77.1609032103,48.2013489436,83.2969962495,62.7347730205,58.6008175465,58.6008175465,58.6008175465,59.239060253,76.1576868214,58.6018412061,58.6018412061,58.6018412061,58.7933512484,58.7933512484,1,1,1,5,1,1,2,1,1,11,11,11,11,10,6,6,8,5.0,9.0,7,6,6,6,6,8,6,6,6,6.0,6.0,0% (1%ile),0% (0%ile),0% (3%ile),0% (44%ile),0% (3%ile),0% (0%ile),0% (0%ile),0% (0%ile),0 = fraction pre-1960 (10%ile),62%ile,3.05 ug/m3 (97%ile),58%ile,93 lifetime risk per million (99%ile),58%ile,4  (96%ile),58%ile,3800 daily vehicles/meters distance (96%ile),59%ile,0.19 toxicity-weighted concentration/meters distance (92%ile),76%ile,0.069 sites/km distance (54%ile),58%ile,0.42 facilities/km distance (56%ile),58%ile,0.11 facilities/km distance (77%ile),58%ile,37.8 ppb (48%ile),58%ile,10.6 ug/m3 (83%ile),58%ile,393487.0,88554.0,0,0,4942.69403131,833028.585131,482041.0
164782,164783,420030201006,462,462,401,328,380,66,0.142857142857,24,0.0519480519481,0,0.0,11,0.0335365853659,10,0.021645021645,20,0.04329004329,262,0.689473684211,0.0974025974026,0.0488794741843,45.0,22.5823170732,-121.17210508,-62.2647827953,3.0515374352,93.0117908124,4.02629049653,2607.77126453,0.100263605432,0.069746399868,0.325719363583,0.111594433919,37.7722516667,10.580129589,-83.5449777128,-369.761214752,-11270.43449,-487.874095126,-315989.133689,-12.1491521331,-8.45131809372,-39.4681009505,-13.5221324731,-4576.94324804,-1282.01657432,Pennsylvania,PA,3,31.2479826984,4.56942547444,3.98249819556,65.0296287202,12.9195700952,8.39366609397,86.8028140124,7.49597947201,1.05518499231,97.4162437193,99.7707117492,96.8511516013,95.0646693005,90.4990564271,54.7429709505,51.7722032535,77.8380100956,48.2013489436,83.2969962495,15.3773065323,9.79437176882,21.7258073217,20.9329532895,2.9378956394,6.07815281323,35.7086332405,35.6627573767,24.5603127316,45.6777547509,41.9099548541,4,1,1,7,2,1,9,1,1,11,11,11,11,10,6,6,8,5.0,9.0,2,1,3,3,1,1,4,4,3,5.0,5.0,14% (31%ile),5% (4%ile),0% (3%ile),3% (65%ile),2% (12%ile),4% (8%ile),10% (7%ile),5% (1%ile),0.69 = fraction pre-1960 (86%ile),15%ile,3.05 ug/m3 (97%ile),9%ile,93 lifetime risk per million (99%ile),21%ile,4  (96%ile),20%ile,2600 daily vehicles/meters distance (95%ile),2%ile,0.1 toxicity-weighted concentration/meters distance (90%ile),6%ile,0.07 sites/km distance (54%ile),35%ile,0.33 facilities/km distance (51%ile),35%ile,0.11 facilities/km distance (77%ile),24%ile,37.8 ppb (48%ile),45%ile,10.6 ug/m3 (83%ile),41%ile,219023.0,62767.0,0,0,3439.17555592,487073.985746,281790.0
164783,164784,420030203001,747,747,684,520,562,126,0.168674698795,100,0.133868808568,0,0.0,7,0.0134615384615,16,0.0214190093708,55,0.0736278447122,415,0.738434163701,0.151271753681,0.0685086499846,113.0,51.1759615385,-155.6808712,-86.0118817554,1.5189084833,61.4976640798,2.13125438265,371.629534469,0.0867131063076,0.0664483460451,1.17789352643,0.106143581743,37.61742,10.5953920548,-114.960073929,-236.464995953,-9574.00992071,-331.79553904,-57855.6096898,-13.4995719344,-10.3447364021,-183.375490375,-16.5245252781,-5856.31271789,-1649.4998658,Pennsylvania,PA,3,35.2950986803,18.1105651223,3.98249819556,51.2448624042,12.7628672637,21.5202232061,89.326490132,19.0724009904,5.40609540297,85.8057142166,96.8478430114,71.8062595779,73.1902306779,90.0067162231,53.0654963766,80.8822934189,76.22093929,45.9624997249,83.4718000327,9.94334578516,18.421096914,26.2567878777,30.3813376092,14.2941446687,5.86133938893,32.6947718541,11.9177105342,21.1706094669,41.1780555426,36.3761745605,4,2,1,6,2,3,9,2,1,9,11,8,8,10,6,9,8,5.0,9.0,1,2,3,4,2,1,4,2,3,5.0,4.0,17% (35%ile),13% (18%ile),0% (3%ile),1% (51%ile),2% (12%ile),7% (21%ile),15% (19%ile),7% (5%ile),0.74 = fraction pre-1960 (89%ile),9%ile,1.52 ug/m3 (85%ile),18%ile,61 lifetime risk per million (96%ile),26%ile,2.1  (71%ile),30%ile,370 daily vehicles/meters distance (73%ile),14%ile,0.087 toxicity-weighted concentration/meters distance (90%ile),5%ile,0.066 sites/km distance (53%ile),32%ile,1.2 facilities/km distance (80%ile),11%ile,0.11 facilities/km distance (76%ile),21%ile,37.6 ppb (45%ile),41%ile,10.6 ug/m3 (83%ile),36%ile,1594790.0,326537.0,0,0,9926.61973729,3321893.86691,1921327.0
164784,164785,420030305001,1299,1299,962,691,781,1154,0.888375673595,921,0.709006928406,154,0.160083160083,0,0.0,48,0.0369515011547,307,0.236335642802,265,0.339308578745,0.798691301001,0.338458817673,1037.5,439.658004158,570.275834419,201.094405177,1.9532875907,64.6214795322,2.48755307306,1078.44670255,0.0345465250763,0.0664115290325,0.403869330701,0.104035870999,37.6600033333,10.6004172603,193.499482869,1113.91271065,36852.0681616,1418.5914044,615012.093173,19.7010484141,37.8728901341,230.316919562,59.3291431436,21476.5898251,6045.16179829,Pennsylvania,PA,3,89.6457751368,93.3775130375,68.1145733049,44.449286974,26.3670841707,88.7725053656,64.6893832568,94.8355923367,90.1963161489,92.5918605567,97.8662656583,82.2302991022,88.2518940547,86.5521987937,53.0465389824,56.164343303,75.6072711001,46.5394193267,83.5324351944,89.893146651,93.9758135127,93.1949120459,90.3061832042,93.7862465617,94.7101482269,84.0065062821,82.2520334667,89.5496495252,87.8745727476,90.0634593972,9,10,7,5,3,9,7,10,10,10,11,9,9,9,6,6,8,5.0,9.0,9,10,10,10,10,10,9,9,9,9.0,10.0,89% (89%ile),71% (93%ile),16% (68%ile),0% (44%ile),4% (26%ile),24% (88%ile),80% (94%ile),34% (90%ile),0.34 = fraction pre-1960 (64%ile),89%ile,1.95 ug/m3 (92%ile),93%ile,65 lifetime risk per million (97%ile),93%ile,2.5  (82%ile),90%ile,1100 daily vehicles/meters distance (88%ile),93%ile,0.035 toxicity-weighted concentration/meters distance (86%ile),94%ile,0.066 sites/km distance (53%ile),84%ile,0.4 facilities/km distance (56%ile),82%ile,0.1 facilities/km distance (75%ile),89%ile,37.7 ppb (46%ile),87%ile,10.6 ug/m3 (83%ile),90%ile,383189.0,0.0,0,0,4253.40194382,662323.543197,383189.0
164785,164786,420030305002,926,926,583,434,515,868,0.937365010799,565,0.610151187905,100,0.171526586621,0,0.0,61,0.0658747300216,242,0.261339092873,193,0.374757281553,0.773758099352,0.341042768037,716.5,315.805603202,383.436430079,145.744100002,1.9532875907,64.6214795322,2.48755307306,434.620177074,0.0599648231643,0.0645860213227,0.543009820869,0.102326334515,37.6600033333,10.6004172603,143.695594185,748.961620695,24778.2294182,953.818469964,166649.209137,22.9926977244,24.764633449,208.209747212,39.2356444094,14440.2172349,4064.58615162,Pennsylvania,PA,3,92.8775190736,86.7397708749,70.7957838121,44.449286974,58.0467212645,92.1748070844,67.4838588466,93.4006673889,90.5217070251,92.5918605567,97.8662656583,82.2302991022,75.7391637347,88.7067445332,52.0429983005,62.7141294504,75.1123757883,46.5394193267,83.5324351944,87.2424001008,89.8017894303,87.4966147141,84.6314147112,86.190679715,94.9361274784,80.2093443142,81.3758523012,85.6148729194,81.1519800883,83.6084917307,10,9,8,5,6,10,7,10,10,10,11,9,8,9,6,7,8,5.0,9.0,9,9,9,9,9,10,9,9,9,9.0,9.0,94% (92%ile),61% (86%ile),17% (70%ile),0% (44%ile),7% (58%ile),26% (92%ile),77% (93%ile),34% (90%ile),0.37 = fraction pre-1960 (67%ile),87%ile,1.95 ug/m3 (92%ile),89%ile,65 lifetime risk per million (97%ile),87%ile,2.5  (82%ile),84%ile,430 daily vehicles/meters distance (75%ile),86%ile,0.06 toxicity-weighted concentration/meters distance (88%ile),94%ile,0.065 sites/km distance (52%ile),80%ile,0.54 facilities/km distance (62%ile),81%ile,0.1 facilities/km distance (75%ile),85%ile,37.7 ppb (46%ile),81%ile,10.6 ug/m3 (83%ile),83%ile,284548.0,0.0,0,0,3298.9738378,491768.83515,284548.0
164786,164787,420030402001,982,976,589,506,573,778,0.792260692464,759,0.777663934426,28,0.0475382003396,24,0.0474308300395,118,0.12016293279,88,0.0896130346232,292,0.509598603839,0.784962313445,0.312444937447,770.832991803,306.820928573,417.627348539,126.47492842,2.1086490339,89.2759474234,3.41523389823,1817.32200372,0.0652645829904,0.0604957191217,0.585581020856,0.108462724376,37.5675033333,10.6152761644,212.82231374,880.629505026,37284.0772107,1426.29507756,758963.369855,27.2562747478,25.2646667747,244.554649095,45.2969999964,15689.2168083,4433.22963854,Pennsylvania,PA,3,84.2342799901,96.4840385885,25.602449686,71.0160314951,92.2419773563,29.8408358951,76.6047915306,94.063964503,86.7770414599,94.0113429407,99.7089113843,93.9261423272,92.8522384408,89.0129656237,49.6838448625,64.4895058551,76.9308417751,45.2480419847,83.7271874248,90.7739190678,91.6013125902,93.3620953596,90.381240045,94.7793150708,95.1662833501,80.3820852471,82.7698983044,87.0083982523,82.5213050182,85.028890322,9,11,3,8,10,3,8,10,9,10,11,10,10,9,5,7,8,5.0,9.0,10,10,10,10,10,11,9,9,9,9.0,9.0,79% (84%ile),78% (96%ile),5% (25%ile),5% (71%ile),12% (92%ile),9% (29%ile),78% (94%ile),31% (86%ile),0.51 = fraction pre-1960 (76%ile),90%ile,2.11 ug/m3 (94%ile),91%ile,89 lifetime risk per million (99%ile),93%ile,3.4  (93%ile),90%ile,1800 daily vehicles/meters distance (92%ile),94%ile,0.065 toxicity-weighted concentration/meters distance (89%ile),95%ile,0.06 sites/km distance (49%ile),80%ile,0.59 facilities/km distance (64%ile),82%ile,0.11 facilities/km distance (76%ile),87%ile,37.6 ppb (45%ile),82%ile,10.6 ug/m3 (83%ile),85%ile,330570.0,0.0,0,0,4857.01677019,571290.082949,330570.0
